N=100;
nK1=37;
nK2=38;
nK3=25;
K1=[1 	8 	9 	10 	11 	17 	25 	28 	29 	31 	32 	35 	36 	40 	43 	47 	48 	56 	57 	58 	59 	60 	65 	66 	70 	71 	74 	75 	78 	79 	83 	85 	87 	88 	94 	95 	97 	];
K2=[2 	3 	4 	5 	7 	14 	15 	16 	18 	20 	21 	22 	23 	24 	30 	33 	34 	37 	38 	42 	46 	49 	51 	54 	55 	63 	64 	67 	69 	77 	80 	81 	84 	86 	90 	93 	96 	99 	];
K3=[6 	12 	13 	19 	26 	27 	39 	41 	44 	45 	50 	52 	53 	61 	62 	68 	72 	73 	76 	82 	89 	91 	92 	98 	100 	];
DG=[4.760000e+01	5.440000e+01	6.290000e+01	7.310000e+01	7.480000e+01	34	4.250000e+01	68	5.950000e+01	6.970000e+01	4.080000e+01	4.930000e+01	6.120000e+01	5.780000e+01	6.630000e+01	8.160000e+01	5.610000e+01	4.760000e+01	6.630000e+01	8.160000e+01	8.160000e+01	3.910000e+01	6.630000e+01	5.950000e+01	3.910000e+01	6.120000e+01	7.140000e+01	8.160000e+01	5.440000e+01	4.250000e+01	4.930000e+01	8.160000e+01	7.140000e+01	7.480000e+01	7.650000e+01	5.950000e+01	8.160000e+01	3.740000e+01	5.270000e+01	4.590000e+01	6.460000e+01	3.570000e+01	4.420000e+01	68	6.120000e+01	7.820000e+01	7.480000e+01	4.420000e+01	4.080000e+01	6.290000e+01	5.780000e+01	7.990000e+01	8.330000e+01	4.250000e+01	4.080000e+01	7.480000e+01	5.780000e+01	8.330000e+01	5.270000e+01	7.140000e+01	7.480000e+01	3.740000e+01	4.420000e+01	4.080000e+01	7.820000e+01	7.820000e+01	7.820000e+01	7.140000e+01	4.760000e+01	6.120000e+01	7.820000e+01	6.120000e+01	4.930000e+01	4.930000e+01	4.760000e+01	34	6.290000e+01	6.630000e+01	8.330000e+01	8.330000e+01	7.480000e+01	4.420000e+01	4.250000e+01	5.780000e+01	6.460000e+01	8.330000e+01	6.630000e+01	6.630000e+01	4.760000e+01	4.420000e+01	4.760000e+01	4.930000e+01	5.440000e+01	5.440000e+01	5.950000e+01	34	7.140000e+01	4.250000e+01	5.270000e+01	4.250000e+01	];
LOAD=[28	32	37	43	44	20	25	40	35	41	24	29	36	34	39	48	33	28	39	48	48	23	39	35	23	36	42	48	32	25	29	48	42	44	45	35	48	22	31	27	38	21	26	40	36	46	44	26	24	37	34	47	49	25	24	44	34	49	31	42	44	22	26	24	46	46	46	42	28	36	46	36	29	29	28	20	37	39	49	49	44	26	25	34	38	49	39	39	28	26	28	29	32	32	35	20	42	25	31	25	];
DIST=[[0.000	3.416	3.326	6.834	1.034	1.542	2.105	5.782	0.611	6.568	4.432	3.574	7.094	7.310	2.907	4.656	0.826	3.810	5.423	3.158	6.416	2.599	6.119	3.111	5.618	2.986	9.275	6.951	7.727	4.396	0.828	5.347	2.022	2.824	3.316	2.066	5.468	4.205	5.110	2.011	3.738	2.403	1.387	4.899	5.280	6.712	2.293	2.956	9.449	2.165	3.258	3.834	6.220	6.440	6.473	4.929	4.718	7.516	2.959	1.496	6.346	2.803	2.911	2.555	6.997	4.115	1.031	7.423	6.079	4.886	8.537	2.645	3.954	5.273	2.742	3.136	1.695	6.855	5.486	2.069	1.827	5.176	6.542	6.381	2.791	1.938	3.032	4.857	4.524	5.680	2.189	7.522	7.060	8.194	2.962	1.700	5.872	1.917	4.423	5.858	]
[3.416	0.000	4.419	6.401	3.225	4.566	4.860	3.882	3.572	5.487	3.976	3.824	6.889	5.244	3.866	1.277	2.798	3.842	2.066	6.307	3.937	1.526	3.110	1.566	2.437	6.385	5.874	3.759	4.346	1.387	4.207	1.961	5.204	4.421	5.437	2.229	3.116	1.192	2.981	1.650	4.477	2.061	4.143	3.954	5.021	4.341	5.363	3.951	6.073	3.094	6.448	3.097	4.838	4.418	3.143	2.256	1.464	4.103	6.360	2.247	2.986	0.893	3.244	1.678	4.873	2.520	2.685	5.044	3.029	1.476	5.257	6.010	3.151	2.514	2.225	5.394	3.809	4.690	4.640	4.738	4.255	1.760	3.992	5.372	3.674	3.325	3.744	1.550	3.438	2.777	2.864	4.906	5.158	4.807	6.371	2.738	4.652	1.666	1.578	3.379	]
[3.326	4.419	0.000	9.856	4.271	2.573	2.169	8.069	2.752	9.323	7.325	6.636	10.196	9.540	6.106	5.545	2.805	1.210	5.600	5.898	4.997	2.895	7.513	2.960	5.363	5.063	9.644	6.418	7.620	5.803	3.269	5.643	4.932	0.653	6.618	2.294	7.443	5.603	3.784	3.002	0.499	4.944	2.240	7.626	8.299	5.098	2.837	6.169	9.960	5.243	5.919	2.016	8.816	4.534	7.319	6.639	4.876	7.688	5.019	4.122	6.346	4.495	5.915	2.743	9.180	6.442	3.947	9.425	5.485	5.606	9.402	4.996	2.090	4.552	5.326	6.423	1.664	9.006	2.824	2.034	5.146	5.722	5.171	9.161	0.758	1.473	0.685	5.066	2.507	4.993	5.171	9.321	9.392	8.718	4.943	4.677	3.399	4.070	5.973	4.603	]
[6.834	6.401	9.856	0.000	5.801	8.312	8.917	3.178	7.432	1.371	2.550	3.264	0.597	3.331	3.962	6.339	7.091	9.804	7.515	6.964	10.133	7.442	5.387	7.770	8.204	8.069	8.760	9.152	8.824	5.508	7.405	7.319	6.675	9.509	4.773	7.700	4.078	5.574	9.362	7.026	10.137	4.950	8.221	2.448	1.562	10.560	8.936	3.930	8.572	4.683	7.147	9.287	2.075	10.761	6.581	4.798	7.432	8.223	8.083	5.734	8.051	5.760	3.961	7.555	3.422	3.892	5.961	4.052	8.852	6.605	7.316	7.618	9.369	8.716	4.583	5.000	8.429	3.503	10.967	8.895	5.468	6.901	10.140	1.322	9.147	8.391	9.332	7.377	9.761	8.821	4.711	4.651	2.954	7.862	8.184	5.216	11.040	5.846	5.246	9.628	]
[1.034	3.225	4.271	5.801	0.000	2.535	3.124	4.915	1.640	5.570	3.425	2.543	6.060	6.430	1.877	4.343	1.505	4.596	5.291	3.085	6.713	2.891	5.532	3.411	5.612	3.340	8.910	6.951	7.559	3.914	1.681	5.181	2.009	3.814	2.567	2.603	4.712	3.745	5.466	2.257	4.648	1.653	2.421	3.924	4.249	7.050	3.233	1.930	9.036	1.150	3.232	4.454	5.260	6.876	6.053	4.292	4.656	7.269	3.325	0.982	6.209	2.431	1.899	2.900	6.135	3.296	0.574	6.605	6.147	4.613	8.038	2.912	4.568	5.439	1.919	2.437	2.692	6.005	6.177	3.096	1.123	4.938	6.818	5.380	3.665	2.822	3.894	4.763	5.115	5.803	1.213	6.762	6.157	7.811	3.364	0.786	6.494	1.560	3.884	6.139	]
[1.542	4.566	2.573	8.312	2.535	0.000	0.627	7.307	1.061	8.100	5.958	5.071	8.537	8.837	4.352	5.843	1.793	3.487	6.408	3.330	6.820	3.352	7.489	3.769	6.456	2.539	10.414	7.733	8.684	5.725	0.929	6.370	2.427	1.932	4.335	2.604	6.948	5.524	5.491	2.944	3.065	3.920	0.485	6.439	6.771	7.039	0.805	4.391	10.633	3.684	3.347	3.877	7.762	6.623	7.705	6.348	5.661	8.563	2.496	2.992	7.304	4.132	4.433	3.247	8.518	5.632	2.560	8.924	6.808	6.029	9.810	2.428	3.992	5.914	4.271	4.111	1.127	8.373	5.244	0.661	2.996	6.275	6.971	7.912	2.379	1.760	2.613	5.825	4.554	6.355	3.724	8.993	8.595	9.364	2.436	3.241	5.748	3.314	5.790	6.310	]
[2.105	4.860	2.169	8.917	3.124	0.627	0.000	7.811	1.554	8.672	6.537	5.667	9.151	9.341	4.962	6.132	2.190	3.215	6.594	3.835	6.749	3.526	7.865	3.883	6.576	2.902	10.645	7.812	8.834	6.090	1.555	6.574	3.005	1.517	4.954	2.751	7.405	5.886	5.436	3.211	2.667	4.426	0.771	6.998	7.370	6.934	0.696	5.003	10.886	4.268	3.831	3.736	8.311	6.466	8.000	6.763	5.839	8.758	2.857	3.493	7.466	4.519	5.015	3.402	9.014	6.129	3.094	9.396	6.875	6.296	10.116	2.875	3.845	5.958	4.789	4.728	1.110	8.863	4.947	0.154	3.623	6.516	6.909	8.487	2.150	1.740	2.357	6.013	4.382	6.406	4.294	9.436	9.111	9.616	2.778	3.800	5.487	3.754	6.177	6.267	]
[5.782	3.882	8.069	3.178	4.915	7.307	7.811	0.000	6.264	1.894	2.126	2.998	3.768	1.530	3.760	3.407	5.657	7.679	4.484	7.340	7.199	5.265	2.211	5.431	5.195	8.064	5.736	6.027	5.646	2.655	6.560	4.287	6.587	7.905	5.438	5.775	0.940	2.788	6.627	5.068	8.222	3.388	7.042	1.472	2.541	7.627	8.075	3.797	5.617	3.864	7.526	6.976	1.144	7.928	3.403	1.793	4.550	5.047	8.060	4.320	4.922	3.577	3.222	5.407	1.221	1.684	4.752	1.741	5.823	3.626	4.368	7.598	7.032	5.838	3.039	5.567	6.999	1.097	8.496	7.738	5.239	3.875	7.181	1.874	7.312	6.731	7.438	4.456	7.306	5.866	3.726	2.075	1.325	4.763	8.126	4.134	8.445	4.109	2.398	6.742	]
