N=80;
nK1=32;
nK2=28;
nK3=20;
K1=[1 	6 	8 	11 	12 	14 	16 	19 	24 	25 	26 	31 	32 	33 	36 	38 	39 	42 	48 	54 	55 	57 	58 	59 	62 	63 	64 	69 	72 	73 	77 	80 	];
K2=[4 	5 	9 	18 	21 	22 	23 	27 	28 	34 	35 	37 	41 	43 	44 	46 	50 	52 	53 	56 	60 	61 	67 	70 	71 	74 	78 	79 	];
K3=[2 	3 	7 	10 	13 	15 	17 	20 	29 	30 	40 	45 	47 	49 	51 	65 	66 	68 	75 	76 	];
DG=[4.160000e+01	4.160000e+01	4.960000e+01	6.080000e+01	3.520000e+01	6.720000e+01	6.080000e+01	3.360000e+01	3.680000e+01	4.160000e+01	7.040000e+01	6.240000e+01	4.480000e+01	5.920000e+01	3.520000e+01	3.520000e+01	7.680000e+01	7.680000e+01	40	56	3.360000e+01	7.840000e+01	7.680000e+01	3.520000e+01	40	7.520000e+01	5.120000e+01	7.360000e+01	56	5.440000e+01	3.360000e+01	6.880000e+01	6.560000e+01	5.920000e+01	6.240000e+01	80	4.480000e+01	3.680000e+01	7.520000e+01	72	6.560000e+01	6.560000e+01	4.160000e+01	48	7.040000e+01	56	5.280000e+01	4.640000e+01	7.840000e+01	3.840000e+01	4.320000e+01	7.360000e+01	3.520000e+01	6.080000e+01	7.040000e+01	6.080000e+01	7.680000e+01	5.440000e+01	3.520000e+01	4.960000e+01	7.520000e+01	7.840000e+01	64	5.920000e+01	4.960000e+01	4.960000e+01	6.240000e+01	3.840000e+01	7.840000e+01	32	3.680000e+01	5.760000e+01	6.240000e+01	6.880000e+01	80	6.080000e+01	56	6.720000e+01	6.880000e+01	5.280000e+01	];
LOAD=[26	26	31	38	22	42	38	21	23	26	44	39	28	37	22	22	48	48	25	35	21	49	48	22	25	47	32	46	35	34	21	43	41	37	39	50	28	23	47	45	41	41	26	30	44	35	33	29	49	24	27	46	22	38	44	38	48	34	22	31	47	49	40	37	31	31	39	24	49	20	23	36	39	43	50	38	35	42	43	33	];
DIST=[[0.000	6.508	3.067	5.765	8.141	9.332	9.205	5.028	5.527	5.344	1.266	0.713	6.117	4.281	2.766	5.629	2.303	8.323	2.942	0.628	3.103	6.669	9.779	2.863	2.559	8.250	3.568	3.111	6.013	2.914	6.602	10.390	1.834	4.879	8.932	6.633	6.660	3.821	7.767	0.324	5.335	8.328	5.456	7.332	4.735	4.289	3.611	5.722	9.266	8.825	6.508	5.867	1.672	7.415	7.102	5.883	5.176	8.359	10.374	2.539	4.822	7.078	3.759	4.642	9.531	8.236	4.759	5.468	6.863	9.385	3.077	3.400	3.951	7.728	0.838	4.400	2.001	3.035	8.226	6.229	]
[6.508	0.000	4.549	0.907	5.956	8.816	12.944	10.225	3.457	1.269	7.766	6.978	4.010	9.926	7.506	8.899	6.702	8.826	3.595	6.613	9.210	4.600	7.117	3.646	8.810	6.167	9.059	6.299	1.655	5.591	0.289	9.183	5.471	6.965	9.766	8.746	5.356	6.203	6.717	6.756	3.614	10.517	9.972	2.805	2.696	2.230	5.275	9.986	6.699	9.945	9.166	6.177	5.036	6.211	4.021	8.467	7.612	6.039	9.122	6.985	1.856	10.293	9.519	7.920	8.072	10.696	8.525	8.387	3.600	8.250	5.304	4.544	3.229	11.882	5.824	5.735	5.354	9.412	5.585	0.682	]
[3.067	4.549	0.000	3.653	5.115	6.708	8.695	5.677	2.508	3.284	4.196	3.767	3.054	5.432	2.981	4.621	2.207	5.987	1.707	2.785	4.911	3.606	6.753	2.047	4.635	5.239	4.566	1.772	3.461	1.049	4.521	7.630	1.296	2.947	6.774	4.940	3.663	1.888	4.901	3.139	2.298	6.803	5.458	4.477	2.044	2.833	1.034	5.511	6.237	6.787	5.142	3.188	1.504	4.492	4.055	4.413	3.525	5.328	7.603	2.463	2.702	6.122	5.067	3.556	6.678	6.861	4.084	4.189	3.847	6.598	0.793	0.359	1.334	7.486	2.234	1.884	1.125	5.302	5.169	4.034	]
[5.765	0.907	3.653	0.000	5.402	8.150	12.051	9.329	2.668	0.421	7.030	6.280	3.294	9.049	6.619	7.999	5.821	8.063	2.824	5.821	8.372	3.936	6.696	2.934	7.991	5.609	8.182	5.396	1.021	4.690	0.878	8.607	4.618	6.074	8.995	7.880	4.641	5.297	6.044	5.995	2.798	9.669	9.066	2.525	1.799	1.603	4.369	9.079	6.245	9.155	8.284	5.351	4.229	5.533	3.487	7.580	6.720	5.512	8.551	6.099	0.984	9.403	8.652	7.015	7.499	9.836	7.619	7.490	3.059	7.641	4.401	3.639	2.327	10.978	5.042	4.842	4.493	8.608	5.088	0.470	]
[8.141	5.956	5.115	5.402	0.000	3.040	9.160	8.633	3.099	5.439	9.156	8.852	2.335	8.959	6.879	6.023	6.497	3.641	6.199	7.757	9.110	1.632	1.639	6.562	9.074	0.213	8.253	5.512	4.388	5.334	5.698	3.227	6.309	4.431	4.535	4.913	1.496	4.810	1.298	8.162	3.157	6.049	7.767	3.307	4.355	6.211	4.589	7.528	1.125	4.857	5.603	2.780	6.617	1.106	1.935	5.215	4.825	0.228	3.166	6.543	5.292	6.750	8.840	5.670	2.117	6.389	6.319	5.490	2.358	2.333	5.105	4.763	4.803	8.712	7.327	3.995	6.141	9.746	0.542	5.313	]
[9.332	8.816	6.708	8.150	3.040	0.000	7.085	8.048	5.554	8.099	10.064	10.026	4.861	8.685	7.253	5.205	7.210	1.482	8.204	8.806	9.287	4.221	3.043	8.581	9.447	2.836	8.201	6.260	7.180	6.440	8.579	1.262	7.588	4.578	1.933	3.712	3.530	5.523	2.107	9.248	5.501	3.890	6.964	6.311	6.755	8.626	5.823	6.607	2.992	2.345	4.373	3.529	8.126	2.618	4.864	4.399	4.566	3.063	1.291	7.116	7.820	5.213	8.749	5.435	1.341	4.303	5.888	4.848	5.256	0.900	6.340	6.361	6.944	7.102	8.630	4.964	7.449	10.050	3.552	8.146	]
[9.205	12.944	8.695	12.051	9.160	7.085	0.000	4.520	9.671	11.767	9.012	9.595	9.433	5.525	6.494	4.081	7.184	5.750	10.309	8.594	6.883	9.220	9.940	10.576	7.422	9.043	5.853	6.998	11.445	7.703	12.828	8.188	8.473	5.979	5.165	4.388	8.430	6.833	7.868	8.923	9.458	3.212	3.767	11.501	10.252	11.525	7.763	3.484	9.713	4.748	3.827	7.063	9.215	8.115	10.146	4.490	5.332	9.318	8.246	6.869	11.232	2.656	5.990	5.140	8.365	2.818	4.678	4.564	10.342	7.923	7.907	8.563	9.846	1.547	9.048	7.209	8.470	7.609	9.675	12.310	]
[5.028	10.225	5.677	9.329	8.633	8.048	4.520	0.000	7.616	8.957	4.588	5.277	7.744	1.012	2.750	2.844	3.569	6.600	6.927	4.480	2.367	7.884	9.994	7.089	2.924	8.618	1.463	3.968	9.053	4.646	10.197	9.309	4.909	4.225	6.674	4.342	7.337	4.298	7.593	4.715	7.370	5.096	1.149	9.711	7.656	8.333	5.103	1.565	9.583	6.360	3.727	5.873	5.560	7.551	8.725	3.668	3.816	8.851	9.333	3.263	8.372	3.370	1.474	2.966	8.921	4.788	2.317	3.260	8.734	8.575	4.946	5.720	7.007	2.973	5.115	5.062	4.980	3.093	9.004	9.705	]
[5.527	3.457	2.508	2.668	3.099	5.554	9.671	7.616	0.000	2.559	6.695	6.205	0.764	7.593	5.173	5.742	4.518	5.396	3.162	5.290	7.294	1.471	4.644	3.510	7.080	3.278	6.756	3.733	1.828	3.208	3.277	6.146	3.804	3.760	6.328	5.363	2.025	3.320	3.459	5.629	0.246	7.086	7.100	2.102	1.260	3.137	2.565	7.021	4.137	6.493	5.848	2.732	3.875	2.951	1.590	5.187	4.394	3.269	6.098	4.699	2.273	7.018	7.308	4.899	5.063	7.287	5.567	5.194	1.341	5.135	2.899	2.237	1.761	8.752	4.688	2.616	3.633	7.758	2.968	2.778	]
[5.344	1.269	3.284	0.421	5.439	8.099	11.767	8.957	2.559	0.000	6.609	5.861	3.241	8.658	6.236	7.702	5.433	7.937	2.403	5.402	7.962	3.913	6.799	2.517	7.576	5.641	7.791	5.041	1.160	4.329	1.285	8.615	4.213	5.800	8.859	7.645	4.573	4.979	5.996	5.574	2.657	9.454	8.722	2.750	1.540	1.217	4.045	8.746	6.332	9.002	8.024	5.172	3.812	5.484	3.559	7.313	6.443	5.564	8.561	5.716	0.586	9.126	8.254	6.700	7.512	9.607	7.291	7.203	3.136	7.630	4.046	3.293	1.974	10.665	4.622	4.567	4.092	8.191	5.161	0.888	]
[1.266	7.766	4.196	7.030	9.156	10.064	9.012	4.588	6.695	6.609	0.000	0.902	7.243	3.688	2.980	5.834	2.854	8.935	4.208	1.415	2.335	7.754	10.784	4.120	1.735	9.248	3.166	3.819	7.271	3.828	7.864	11.185	2.906	5.502	9.447	7.039	7.661	4.568	8.661	1.077	6.492	8.588	5.258	8.559	5.972	5.542	4.568	5.591	10.278	9.290	6.790	6.712	2.904	8.352	8.251	6.250	5.669	9.379	11.176	2.973	6.088	7.161	3.159	4.981	10.395	8.436	4.923	5.794	8.036	10.210	4.051	4.504	5.183	7.482	2.053	5.263	3.079	1.999	9.286	7.495	]
[0.713	6.978	3.767	6.280	8.852	10.026	9.595	5.277	6.205	5.861	0.902	0.000	6.810	4.440	3.278	6.170	2.923	8.993	3.482	1.236	3.143	7.372	10.490	3.347	2.553	8.961	3.820	3.785	6.600	3.622	7.093	11.093	2.547	5.543	9.580	7.245	7.372	4.507	8.478	0.794	6.020	8.898	5.828	7.965	5.365	4.749	4.323	6.127	9.977	9.459	7.079	6.573	2.332	8.128	7.787	6.480	5.807	9.069	11.078	3.126	5.365	7.579	3.908	5.223	10.240	8.785	5.278	6.050	7.537	10.091	3.789	4.105	4.590	8.089	1.533	5.105	2.712	2.889	8.932	6.748	]
